s,value,areaname,sexname,areacode,statname
http://statistics.data.gov.uk/data/annual-survey-of-hours-and-earnings-2016-earnings/year/2016/geography/S12000040/earnings/annual-pay-gross/earnings-statistics/70-0/sex/female/working-pattern/full-time/gbp/value,2.93E+04,West Lothian,Female,S12000040,70
http://statistics.data.gov.uk/data/annual-survey-of-hours-and-earnings-2016-earnings/year/2016/geography/S12000040/earnings/annual-pay-gross/earnings-statistics/60-0/sex/female/working-pattern/full-time/gbp/value,2.60E+04,West Lothian,Female,S12000040,60
http://statistics.data.gov.uk/data/annual-survey-of-hours-and-earnings-2016-earnings/year/2016/geography/S12000040/earnings/annual-pay-gross/earnings-statistics/40-0/sex/female/working-pattern/full-time/gbp/value,2.06E+04,West Lothian,Female,S12000040,40
http://statistics.data.gov.uk/data/annual-survey-of-hours-and-earnings-2016-earnings/year/2016/geography/S12000040/earnings/annual-pay-gross/earnings-statistics/30-0/sex/female/working-pattern/full-time/gbp/value,1.93E+04,West Lothian,Female,S12000040,30
http://statistics.data.gov.uk/data/annual-survey-of-hours-and-earnings-2016-earnings/year/2016/geography/S12000040/earnings/annual-pay-gross/earnings-statistics/25-0/sex/female/working-pattern/full-time/gbp/value,1.85E+04,West Lothian,Female,S12000040,25
http://statistics.data.gov.uk/data/annual-survey-of-hours-and-earnings-2016-earnings/year/2016/geography/S12000040/earnings/annual-pay-gross/earnings-statistics/20-0/sex/female/working-pattern/full-time/gbp/value,1.79E+04,West Lothian,Female,S12000040,20
http://statistics.data.gov.uk/data/annual-survey-of-hours-and-earnings-2016-earnings/year/2016/geography/S12000040/earnings/annual-pay-gross/earnings-statistics/percentiles-10-0/sex/female/working-pattern/full-time/gbp/value,1.48E+04,West Lothian,Female,S12000040,Percentiles 10.0
http://statistics.data.gov.uk/data/annual-survey-of-hours-and-earnings-2016-earnings/year/2016/geography/S12000040/earnings/annual-pay-gross/earnings-statistics/mean/sex/female/working-pattern/full-time/gbp/value,2.77E+04,West Lothian,Female,S12000040,Mean
http://statistics.data.gov.uk/data/annual-survey-of-hours-and-earnings-2016-earnings/year/2016/geography/S12000040/earnings/annual-pay-gross/earnings-statistics/median/sex/female/working-pattern/full-time/gbp/value,2.25E+04,West Lothian,Female,S12000040,Median
http://statistics.data.gov.uk/data/annual-survey-of-hours-and-earnings-2016-earnings/year/2016/geography/S12000039/earnings/annual-pay-gross/earnings-statistics/70-0/sex/female/working-pattern/full-time/gbp/value,3.00E+04,West Dunbartonshire,Female,S12000039,70
http://statistics.data.gov.uk/data/annual-survey-of-hours-and-earnings-2016-earnings/year/2016/geography/S12000039/earnings/annual-pay-gross/earnings-statistics/60-0/sex/female/working-pattern/full-time/gbp/value,2.64E+04,West Dunbartonshire,Female,S12000039,60
http://statistics.data.gov.uk/data/annual-survey-of-hours-and-earnings-2016-earnings/year/2016/geography/S12000039/earnings/annual-pay-gross/earnings-statistics/40-0/sex/female/working-pattern/full-time/gbp/value,2.24E+04,West Dunbartonshire,Female,S12000039,40
http://statistics.data.gov.uk/data/annual-survey-of-hours-and-earnings-2016-earnings/year/2016/geography/S12000039/earnings/annual-pay-gross/earnings-statistics/30-0/sex/female/working-pattern/full-time/gbp/value,2.02E+04,West Dunbartonshire,Female,S12000039,30
http://statistics.data.gov.uk/data/annual-survey-of-hours-and-earnings-2016-earnings/year/2016/geography/S12000039/earnings/annual-pay-gross/earnings-statistics/25-0/sex/female/working-pattern/full-time/gbp/value,1.78E+04,West Dunbartonshire,Female,S12000039,25
http://statistics.data.gov.uk/data/annual-survey-of-hours-and-earnings-2016-earnings/year/2016/geography/S12000039/earnings/annual-pay-gross/earnings-statistics/20-0/sex/female/working-pattern/full-time/gbp/value,1.62E+04,West Dunbartonshire,Female,S12000039,20
http://statistics.data.gov.uk/data/annual-survey-of-hours-and-earnings-2016-earnings/year/2016/geography/S12000039/earnings/annual-pay-gross/earnings-statistics/mean/sex/female/working-pattern/full-time/gbp/value,2.68E+04,West Dunbartonshire,Female,S12000039,Mean
http://statistics.data.gov.uk/data/annual-survey-of-hours-and-earnings-2016-earnings/year/2016/geography/S12000039/earnings/annual-pay-gross/earnings-statistics/median/sex/female/working-pattern/full-time/gbp/value,2.49E+04,West Dunbartonshire,Female,S12000039,Median
http://statistics.data.gov.uk/data/annual-survey-of-hours-and-earnings-2016-earnings/year/2016/geography/S12000030/earnings/annual-pay-gross/earnings-statistics/60-0/sex/female/working-pattern/full-time/gbp/value,2.73E+04,Stirling,Female,S12000030,60
http://statistics.data.gov.uk/data/annual-survey-of-hours-and-earnings-2016-earnings/year/2016/geography/S12000030/earnings/annual-pay-gross/earnings-statistics/40-0/sex/female/working-pattern/full-time/gbp/value,1.92E+04,Stirling,Female,S12000030,40
http://statistics.data.gov.uk/data/annual-survey-of-hours-and-earnings-2016-earnings/year/2016/geography/S12000030/earnings/annual-pay-gross/earnings-statistics/30-0/sex/female/working-pattern/full-time/gbp/value,1.77E+04,Stirling,Female,S12000030,30
http://statistics.data.gov.uk/data/annual-survey-of-hours-and-earnings-2016-earnings/year/2016/geography/S12000030/earnings/annual-pay-gross/earnings-statistics/25-0/sex/female/working-pattern/full-time/gbp/value,1.67E+04,Stirling,Female,S12000030,25
http://statistics.data.gov.uk/data/annual-survey-of-hours-and-earnings-2016-earnings/year/2016/geography/S12000030/earnings/annual-pay-gross/earnings-statistics/20-0/sex/female/working-pattern/full-time/gbp/value,1.60E+04,Stirling,Female,S12000030,20
http://statistics.data.gov.uk/data/annual-survey-of-hours-and-earnings-2016-earnings/year/2016/geography/S12000030/earnings/annual-pay-gross/earnings-statistics/mean/sex/female/working-pattern/full-time/gbp/value,2.86E+04,Stirling,Female,S12000030,Mean
http://statistics.data.gov.uk/data/annual-survey-of-hours-and-earnings-2016-earnings/year/2016/geography/S12000030/earnings/annual-pay-gross/earnings-statistics/median/sex/female/working-pattern/full-time/gbp/value,2.32E+04,Stirling,Female,S12000030,Median
http://statistics.data.gov.uk/data/annual-survey-of-hours-and-earnings-2016-earnings/year/2016/geography/S12000029/earnings/annual-pay-gross/earnings-statistics/80-0/sex/female/working-pattern/full-time/gbp/value,3.55E+04,South Lanarkshire,Female,S12000029,80
http://statistics.data.gov.uk/data/annual-survey-of-hours-and-earnings-2016-earnings/year/2016/geography/S12000029/earnings/annual-pay-gross/earnings-statistics/75-0/sex/female/working-pattern/full-time/gbp/value,3.49E+04,South Lanarkshire,Female,S12000029,75
http://statistics.data.gov.uk/data/annual-survey-of-hours-and-earnings-2016-earnings/year/2016/geography/S12000029/earnings/annual-pay-gross/earnings-statistics/70-0/sex/female/working-pattern/full-time/gbp/value,3.26E+04,South Lanarkshire,Female,S12000029,70
http://statistics.data.gov.uk/data/annual-survey-of-hours-and-earnings-2016-earnings/year/2016/geography/S12000029/earnings/annual-pay-gross/earnings-statistics/60-0/sex/female/working-pattern/full-time/gbp/value,2.76E+04,South Lanarkshire,Female,S12000029,60
http://statistics.data.gov.uk/data/annual-survey-of-hours-and-earnings-2016-earnings/year/2016/geography/S12000029/earnings/annual-pay-gross/earnings-statistics/40-0/sex/female/working-pattern/full-time/gbp/value,2.14E+04,South Lanarkshire,Female,S12000029,40
http://statistics.data.gov.uk/data/annual-survey-of-hours-and-earnings-2016-earnings/year/2016/geography/S12000029/earnings/annual-pay-gross/earnings-statistics/30-0/sex/female/working-pattern/full-time/gbp/value,1.98E+04,South Lanarkshire,Female,S12000029,30
http://statistics.data.gov.uk/data/annual-survey-of-hours-and-earnings-2016-earnings/year/2016/geography/S12000029/earnings/annual-pay-gross/earnings-statistics/25-0/sex/female/working-pattern/full-time/gbp/value,1.92E+04,South Lanarkshire,Female,S12000029,25
http://statistics.data.gov.uk/data/annual-survey-of-hours-and-earnings-2016-earnings/year/2016/geography/S12000029/earnings/annual-pay-gross/earnings-statistics/20-0/sex/female/working-pattern/full-time/gbp/value,1.76E+04,South Lanarkshire,Female,S12000029,20
http://statistics.data.gov.uk/data/annual-survey-of-hours-and-earnings-2016-earnings/year/2016/geography/S12000029/earnings/annual-pay-gross/earnings-statistics/percentiles-10-0/sex/female/working-pattern/full-time/gbp/value,1.42E+04,South Lanarkshire,Female,S12000029,Percentiles 10.0
http://statistics.data.gov.uk/data/annual-survey-of-hours-and-earnings-2016-earnings/year/2016/geography/S12000029/earnings/annual-pay-gross/earnings-statistics/mean/sex/female/working-pattern/full-time/gbp/value,2.81E+04,South Lanarkshire,Female,S12000029,Mean
http://statistics.data.gov.uk/data/annual-survey-of-hours-and-earnings-2016-earnings/year/2016/geography/S12000029/earnings/annual-pay-gross/earnings-statistics/median/sex/female/working-pattern/full-time/gbp/value,2.37E+04,South Lanarkshire,Female,S12000029,Median
